50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c6ea4c48-21e6-5b34-a04f-1afeff32b7fc,1,,,,3939883,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,América,1229,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 33098, 'name': 'Luis Ángel Malagón Velázquez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 33126, 'name': 'Israel Reyes Romero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 11388, 'name': 'Néstor Alejandro Araújo Razo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 36167, 'name': 'Ramón Juárez Del Castillo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 29}, {'player': {'id': 23428, 'name': 'Cristian Alexis Borja González'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 31956, 'name': 'Richard Rafael Sánchez Guerrero'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 47467, 'name': 'Álvaro Fidalgo Fernández'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 15822, 'name': 'Javairô Dilrosun'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 43555, 'name': 'Erick Daniel Sánchez Ocegueda'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 37999, 'name': 'Rodrigo Sebastián Aguirre Soto'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 27}, {'player': {'id': 30736, 'name': 'Paul Brian Rodríguez Bravo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",América,1229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7d9c1fdb-fc4c-564c-867d-364c4959003b,2,,,,3939883,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,América,1229,,0,,,,,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 27225, 'name': 'Camilo Andrés Vargas Gil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 75131, 'name': 'Gaddi Axel Aguirre Ledesma'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 28425, 'name': 'Hugo Martín Nervo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 4418, 'name': 'Matheus Dória Macedo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 29516, 'name': 'Idekel Alberto Domínguez Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 34347, 'name': 'Ángel Jeremy Márquez Castañeda'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 26324, 'name': 'Aldo Paul Rocha González'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 31431, 'name': 'Raymundo de Jesús Fulgencio Román'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 27567, 'name': 'Mateo Ezequiel García'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 10846, 'name': 'Jhon Eduard Murillo Romaña'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 15}, {'player': {'id': 32156, 'name': 'Eduardo Daniel Aguirre Lara'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Atlas,1296,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f4a984d7-3b0f-5773-af42-266f721b5709,3,,,,3939883,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,América,1229,['4d3b348b-1a49-5e2a-8347-276727033c03'],0,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4d3b348b-1a49-5e2a-8347-276727033c03,4,,,,3939883,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Other,,,,1,América,1229,['f4a984d7-3b0f-5773-af42-266f721b5709'],0,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9a60fb3f-e923-55a0-9950-095715f35181,1912,,,,3939883,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Atlas,1296,['676d83d7-65b7-5380-a972-2879a6b678a4'],0,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,676d83d7-65b7-5380-a972-2879a6b678a4,1913,,,,3939883,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,98,Atlas,1296,['9a60fb3f-e923-55a0-9950-095715f35181'],0,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,443ea791-dde1-51f5-a081-26a55b69bf42,5,,,"[60.0, 40.0]",3939883,0,,0.0102403006,0.0085812286,0.001659072,0.0152476057,0.0074392939,0.0078083118,0.0061492398,,,,-2.903757,,Right Foot,,,"[46.8, 36.8]",,Ground Pass,13.58,,,,,,0.9986181259,Aldo Paul Rocha González,26324.0,,,,,,Kick Off,,1,From Kick Off,Eduardo Daniel Aguirre Lara,32156.0,Left Center Forward,2,Atlas,1296,['8d45d8b9-9bc4-5929-8ae8-a787e6de5f94'],0,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:00.637,Pass,
,,,,,,,,,,,,,,,,,0.504,,,,,,,,,,,,,,db4e22a1-c29c-5cbc-8856-7116962b3a66,8,,,"[47.3, 38.1]",3939883,0,,0.0103910007,0.0100024873,0.0003885133,0.0149631426,0.0150732715,-0.0001101289,-0.0004986422,,,,1.907471,,Left Foot,,,"[45.2, 44.1]",,Ground Pass,6.36,,,22.0,Midfield third - Center - To right - Short - Ground Pass,0.995466412,0.9798893332,Ángel Jeremy Márquez Castañeda,34347.0,,,,,,,,1,From Kick Off,Aldo Paul Rocha González,26324.0,Left Defensive Midfield,2,Atlas,1296,"['a62fb80a-5697-5730-8199-4828c7fc6021', 'bcd906a6-5b21-5629-a40f-8a78c02f07bd']",3,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:03.762,Pass,
,,,,,,,,,,,,,,,,,1.032,,,,,,,,,,,,,,56b3646e-5a69-58fb-8f97-6c0575c79eb3,11,,,"[44.3, 40.6]",3939883,0,,0.0108188819,0.0103882896,0.0004305923,0.0141239874,0.0147592239,-0.0006352365,-0.0010658288,,,,-2.1771,,Right Foot,,,"[34.8, 26.9]",,Ground Pass,16.67,,,26.0,Midfield third - Center - To left - Short - Ground Pass,0.704495729,0.9927682877,Matheus Dória Macedo,4418.0,,,,,,,,1,From Kick Off,Ángel Jeremy Márquez Castañeda,34347.0,Right Defensive Midfield,2,Atlas,1296,"['660fda6f-39c8-5044-b525-31be12084c59', 'f950d1b4-5023-552f-a6c1-c88037604146']",5,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:05.656,Pass,
,,,,,,,,,,,,,,,,,1.684,,,,,,,,,,,,,,0f12783b-e06a-56ad-ba15-392170b81155,14,,,"[32.2, 23.6]",3939883,0,,0.0109061487,0.0109172603,-1.11116e-05,0.0112134041,0.013075836,-0.0018624319,-0.0018513203,,,,-1.419294,,Left Foot,,,"[34.2, 10.5]",,Ground Pass,13.25,,,59.0,Midfield third - Left - Backwards - Short - Ground Pass,0.7934208608,0.9775165319,Idekel Alberto Domínguez Rodríguez,29516.0,,,,,,,,1,From Kick Off,Matheus Dória Macedo,4418.0,Left Center Back,2,Atlas,1296,"['a9b2680d-4fdc-5abe-8ae0-cca11ec44e0b', '45c66ee0-0361-5366-832e-b1e57dce666b']",7,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:07.772,Pass,
,,,,,,,,,,,,,,,,,1.93,,,,,,,,,,,,,,b92d6c15-300b-5c3b-a94b-0f8003bf3246,17,,,"[28.8, 12.4]",3939883,0,,0.0143129267,0.0116730677,0.002639859,0.0068189735,0.0118735125,-0.0050545391,-0.0076943981,,,,2.289902,,Right Foot,,,"[6.3, 38.1]",,Ground Pass,34.16,,,38.0,Midfield third - Left - Backwards - Long - Ground Pass,0.9765868244,0.9971518517,Camilo Andrés Vargas Gil,27225.0,,,,,,,,1,From Kick Off,Idekel Alberto Domínguez Rodríguez,29516.0,Left Back,2,Atlas,1296,"['22a15d12-184e-58a3-b3e8-b84be4b26fb1', 'a489c121-b043-5474-8920-1ba9d272a89f']",9,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:09.920,Pass,
,,,,,,,,,,,,,,,,,1.652,,,,,,,,,,,,,,ac1400e0-f8ea-5f99-9e8c-30da339fc8e6,21,,,"[7.1, 38.9]",3939883,0,,0.0119735813,0.0122290812,-0.0002555,0.0092610149,0.0068189735,0.0024420414,0.0026975414,,,,-0.330925,,Left Foot,,,"[39.7, 27.7]",,High Pass,34.47,Incomplete,,6.0,Defensive third - Center - To left - Short - Ground Pass,0.9448108019,0.3044665456,,,,,,,,,,1,From Kick Off,Camilo Andrés Vargas Gil,27225.0,Goalkeeper,2,Atlas,1296,"['03848729-a8d1-5a29-bac0-2ec92d3a3d5b', '672da5fb-427b-5a28-aa8d-cccf6f918859', 'f192c795-9560-56ca-9a09-e4d67e4e82fe']",14,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:14.480,Pass,True
,,,,,,,,,,,,,,,,,1.369,,,,,,,,,,,,,,672da5fb-427b-5a28-aa8d-cccf6f918859,22,,,"[80.4, 52.4]",3939883,0,,0.0095095504,0.0068189735,0.0026905769,0.0307413749,0.0122290812,0.0185122937,0.0158217167,,,,-1.244942,,Head,,,"[87.8, 30.5]",,High Pass,23.12,,,56.0,Attacking third - Center - To left - Short - Ground Pass,0.9875670102,0.4326889515,Paul Brian Rodríguez Bravo,30736.0,,,,,,Interception,,1,Regular Play,Javairô Dilrosun,15822.0,Right Midfield,3,América,1229,"['ac1400e0-f8ea-5f99-9e8c-30da339fc8e6', 'df8db5e4-1e5d-50a7-8b96-8826702254ce']",16,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:16.132,Pass,
,,,,,,,,,,,,,,,,,0.126,,,,,,,,,,,,,,a261ff0e-24a0-5f77-86cc-1bb6c49d56d9,25,,,"[88.1, 30.5]",3939883,0,,0.012781376,0.0095095504,0.0032718256,0.0120635387,0.0307413749,-0.0186778363,-0.0219496619,,,,0.602287,,Right Foot,,,"[89.7, 31.6]",,Low Pass,1.94,Incomplete,,2.0,Attacking third - Center - To right - Short - Ground Pass,0.8965962069,0.3298124075,Rodrigo Sebastián Aguirre Soto,37999.0,,,,,,,,1,Regular Play,Paul Brian Rodríguez Bravo,30736.0,Left Center Forward,3,América,1229,"['bbf3fecd-3a36-5d53-9fbc-a8092816ccb0', '22f9c187-00f8-541d-b968-525d4dca24c9', 'bf64fbd0-c523-5c71-95bc-e4fcda8a20f4']",17,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:17.501,Pass,True
,,,,,,,,,,,,,,,,,0.835,,,,,,,,,,,,,,3764b31e-e642-55bf-8a4a-9c5336832df6,29,,,"[38.1, 35.9]",3939883,0,,0.0125026563,0.0120635387,0.0004391177,0.0133559713,0.012781376,0.0005745953,0.0001354776,,,,0.908855,,Left Foot,,,"[44.1, 43.6]",,Low Pass,9.76,,,48.0,Defensive third - Center - Forwards - Short - Ground Pass,0.8644507853,0.7366744876,Ángel Jeremy Márquez Castañeda,34347.0,,,,,,Recovery,,1,Regular Play,Mateo Ezequiel García,27567.0,Left Midfield,4,Atlas,1296,"['fa52dcc6-17bc-59b6-82ac-9819731a4269', '92aa3342-a110-560a-b211-5620eaad17a1']",18,,,,,,,,,,,,,,,,,,,,,,,,Atlas,1296,00:00:18.846,Pass,True
,,,,,,,,,,,,,,,,,1.747,,,,,,,,,,,,,,515d92e3-ddd5-5910-9b2e-75e05b4a084b,36,,,"[69.5, 52.1]",3939883,0,,0.0096790018,0.0094699506,0.0002090512,0.0172244459,0.0223090667,-0.0050846208,-0.005293672,,,,2.446,,Right Foot,,,"[58.0, 61.7]",,Ground Pass,14.98,,,23.0,Midfield third - Right - Backwards - Short - Ground Pass,0.9676705228,0.9869865775,Israel Reyes Romero,33126.0,,,,,,,,1,Regular Play,Richard Rafael Sánchez Guerrero,31956.0,Right Defensive Midfield,5,América,1229,"['ee7340b3-3536-58b9-9950-bce38b971aaa', '1e37b60b-6a5b-5d64-8bb0-22cf25e325bd']",24,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:24.234,Pass,
,,,,,,,,,,,,,,,,,0.723,,,,,,,,,,,,,,c6840551-7c29-5590-8b3d-004901efaf8d,39,,,"[56.0, 65.5]",3939883,0,,0.0104215192,0.0096941423,0.0007273769,0.0157137718,0.0163132548,-0.000599483,-0.0013268599,,,,-1.460139,,Right Foot,,,"[57.1, 55.6]",,Ground Pass,9.96,,,36.0,Midfield third - Right - Backwards - Short - Ground Pass,0.7981709124,0.9771146178,Álvaro Fidalgo Fernández,47467.0,,,,,,,,1,Regular Play,Israel Reyes Romero,33126.0,Right Back,5,América,1229,"['27b8aea0-e216-5117-98c2-73157b373e69', '1d64184f-368d-554c-a1ab-9f3762ea7837']",28,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:28.181,Pass,
,,,,,,,,,,,,,,,,,2.133,,,,,,,,,,,,,,139bea0b-1cd8-5142-8b45-4f6362094fda,44,,,"[55.4, 57.3]",3939883,0,,0.011437349,0.0109978085,0.0004395405,0.0129694594,0.0155565469,-0.0025870875,-0.0030266279,,,,-3.105464,,Right Foot,,,"[30.5, 56.4]",,Ground Pass,24.92,,,5.0,Defensive third - Right - Backwards - Short - Ground Pass,0.6798213842,0.993127346,Néstor Alejandro Araújo Razo,11388.0,,,,,,,,1,Regular Play,Álvaro Fidalgo Fernández,47467.0,Left Defensive Midfield,5,América,1229,"['290350eb-7616-583f-a2b4-71cbc7c31c81', '37764368-5bfc-550d-b3b6-944f41866480', 'a179105e-4fe6-57c3-a155-4aefea2572b3']",29,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:29.881,Pass,True
,,,,,,,,,,,,,,,,,1.346,,,,,,,,,,,,,,d95d74c3-9133-5cfd-80ed-8eb8be482f72,47,,,"[30.9, 51.5]",3939883,0,,0.011190407,0.0112516889,-6.1282e-05,0.0133390417,0.0136980116,-0.0003589699,-0.0002976879,,,,-1.617455,,Right Foot,,,"[29.7, 25.8]",,Ground Pass,25.73,,,26.0,Midfield third - Center - To left - Short - Ground Pass,0.9310549073,0.9966183305,Ramón Juárez Del Castillo,36167.0,,,,,,,,1,Regular Play,Néstor Alejandro Araújo Razo,11388.0,Right Center Back,5,América,1229,"['768aa745-f3f4-5fe4-beee-c942ea3d2860', '2f1990e1-a9cd-546b-8f2b-fe290b242795']",33,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:33.434,Pass,
,,,,,,,,,,,,,,,,,1.446,,,,,,,,,,,,,,ad98f6ec-b15b-551f-bc9b-124de614649e,50,,,"[29.7, 25.8]",3939883,0,,0.0138193816,0.011190407,0.0026289746,0.007223607,0.0133390417,-0.0061154347,-0.0087444093,,,,2.606362,,Left Foot,,,"[9.8, 37.6]",,Ground Pass,23.14,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.8953066789,0.9956781268,Luis Ángel Malagón Velázquez,33098.0,,,,,,,,1,Regular Play,Ramón Juárez Del Castillo,36167.0,Left Center Back,5,América,1229,"['6278e645-9417-5192-87d9-a7b43a211c3a', 'ee614288-6250-5709-a200-133e78554407']",34,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:34.860,Pass,
,,,,,,,,,,,,,,,,,1.264,,,,,,,,,,,,,,a34803be-0cbd-5dd5-a6d4-7019772c9e73,54,,,"[8.4, 41.4]",3939883,0,,0.0157185756,0.0119003672,0.0038182084,0.0076063811,0.006858543,0.0007478381,-0.0030703703,,,,1.123954,,Right Foot,,,"[15.3, 55.8]",,Ground Pass,15.97,,,33.0,Defensive third - Center - To right - Short - Ground Pass,0.9988101302,0.9788155556,Néstor Alejandro Araújo Razo,11388.0,,,,,,,,1,Regular Play,Luis Ángel Malagón Velázquez,33098.0,Goalkeeper,5,América,1229,"['43e52179-a083-592e-99e7-c9e947a9a238', '55a12ecb-3471-5893-bdab-1ffd67851967', '2183bb19-7f9d-5a69-b7b9-25bb67d15aec']",38,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:38.051,Pass,True
,,,,,,,,,,,,,,,,,1.322,,,,,,,,,,,,,,dd28ed73-2f42-5e5a-bc05-a844518e0e04,58,,,"[15.8, 58.4]",3939883,0,,0.0129995737,0.0157729425,-0.0027733687,0.007379767,0.0079356283,-0.0005558613,0.0022175075,,,,1.131192,,Right Foot,,,"[25.3, 78.6]",,Ground Pass,22.32,,,58.0,Defensive third - Right - Forwards - Short - Ground Pass,0.6365335426,0.9568132758,Israel Reyes Romero,33126.0,,,,,,,,1,Regular Play,Néstor Alejandro Araújo Razo,11388.0,Right Center Back,5,América,1229,"['9abd963d-bfb2-53f4-b831-442370bd1477', '2f4f810f-0909-5e5b-bff1-a59cea2e7b86', 'be36eb31-0a9e-53f1-b4d5-d9994273f122']",40,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:40.307,Pass,True
,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,ccc1fe99-48b9-5f0a-b073-fb67fea45c2f,62,,,"[26.5, 78.7]",3939883,0,,0.0113697834,0.0125570893,-0.0011873059,0.0116473557,0.0072664954,0.0043808604,0.0055681663,,,,-0.369627,,Right Foot,,,"[45.6, 71.3]",,Low Pass,20.48,,,58.0,Defensive third - Right - Forwards - Short - Ground Pass,0.7561203405,0.3759060204,Javairô Dilrosun,15822.0,,,,,,,,1,Regular Play,Israel Reyes Romero,33126.0,Right Back,5,América,1229,"['afc96ada-04b8-5a91-8092-d3e75170ff49', '2dde16ca-e80a-5490-9594-32f1f9774512', 'c61c6a0d-772b-5fe8-b107-fb5f5ba069db']",41,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:41.709,Pass,True
,,,,,,,,,,,,,,,,,1.044,,,,,,,,,,,,,,75d8af1f-67bc-537a-b856-288a15651ee7,66,,,"[45.6, 63.9]",3939883,0,,0.010777697,0.009690362,0.0010873349,0.015814798,0.0147813875,0.0010334104,-5.39245e-05,,,,-0.476069,,Left Foot,,,"[58.4, 57.3]",,Ground Pass,14.4,,,37.0,Midfield third - Center - Forwards - Short - Ground Pass,0.7061449557,0.9384605289,Rodrigo Sebastián Aguirre Soto,37999.0,,,,,,,,1,Regular Play,Javairô Dilrosun,15822.0,Right Midfield,5,América,1229,"['402c87a9-3b4d-5d3a-91db-927579dae79c', '53e0828d-427d-5525-b8fb-c05e30b9aae2']",44,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:44.873,Pass,
,,,,,,,,,,,,,,,,,3.151,,,,,,,,,,,,,,3ae8706c-4c20-5272-91a9-a29a2e74760c,70,,,"[58.6, 57.3]",3939883,0,,0.0080287587,0.0106203314,-0.0025915727,0.0206699371,0.0158895385,0.0047803987,0.0073719714,,,,0.679326,,Right Foot,,,"[85.1, 78.7]",,Ground Pass,34.06,,,8.0,Midfield third - Center - To right - Short - Ground Pass,0.8019284794,0.6620095372,Israel Reyes Romero,33126.0,,,,,,,,1,Regular Play,Rodrigo Sebastián Aguirre Soto,37999.0,Right Center Forward,5,América,1229,"['933aafef-e7d0-52e1-a1b9-983e3533e62a', '48d923eb-f30e-5930-a9bd-03562319be25', '06f58e06-5aae-516e-824b-13da3f4c415f']",45,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:45.957,Pass,True
,,,,,,,,,,,,,,,,,0.368,,,,,,,,,,,,,,8e3adc0a-94f9-5604-a820-13e955bce131,73,,,"[105.6, 66.8]",3939883,0,,0.0090847667,0.0091461232,-6.13565e-05,0.0427160859,0.0367056988,0.0060103871,0.0060717436,,,,-1.584309,,Right Foot,,,"[105.4, 52.0]",,Ground Pass,14.8,Incomplete,,31.0,Attacking third - Right - To left - Short - Ground Pass,0.997283139,0.3918785155,,,,,,,,,,1,Regular Play,Israel Reyes Romero,33126.0,Right Back,5,América,1229,"['eec20a21-567b-5c7b-b14e-e43853cfa4eb', '654f20a2-b325-5733-a319-e9671ea0edbf']",51,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:00:51.552,Pass,
,,,,,,,,,,,,,,,,,5.208,,,,,,,,,,,,,,2111409d-7dde-5483-a5fa-b11998134681,75,,,"[120.0, 80.0]",3939883,1,,0.0087999469,0.0090847667,-0.0002848199,0.0255102906,0.0427160859,-0.0172057953,-0.0169209754,,,,-1.890909,,Right Foot,,,"[95.7, 6.7]",,High Pass,77.22,,True,,,,0.9055094719,Erick Daniel Sánchez Ocegueda,43555.0,,,True,Outswinging,,Corner,0.0001150845,1,From Corner,Richard Rafael Sánchez Guerrero,31956.0,Right Defensive Midfield,6,América,1229,['a68d5536-04d4-586d-95d7-b434f2f282e0'],26,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:01:26.063,Pass,
,,,,,,,,,,,,,,,,,2.281,,,,,,,,,,,,,,9423b914-70fb-5d6a-a040-4bd3e9f383a8,78,,,"[93.9, 4.2]",3939883,1,,0.0091420319,0.0081845028,0.0009575291,0.0203507449,0.024113575,-0.00376283,-0.0047203591,,,,2.627417,,Right Foot,,,"[70.0, 17.7]",,Ground Pass,27.45,,,49.0,Attacking third - Left - Backwards - Short - Ground Pass,0.7961059173,0.9753417373,Cristian Alexis Borja González,23428.0,,,,,,,,1,From Corner,Erick Daniel Sánchez Ocegueda,43555.0,Left Midfield,6,América,1229,"['df443fad-15aa-5be0-be05-2ba5a02bc528', '83b0de33-9401-5caa-bae4-4c8ce579b5a9']",33,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:01:33.869,Pass,
,,,,,,,,,,,,,,,,,1.762,,,,,,,,,,,,,,95f6f9d3-8974-5ee4-b427-c765e249426b,81,,,"[69.2, 19.7]",3939883,1,,0.0099951336,0.0092918668,0.0007032668,0.0224238783,0.0205641035,0.0018597748,0.001156508,,,,1.682687,,Left Foot,,,"[67.2, 37.5]",,Ground Pass,17.91,,,46.0,Midfield third - Left - To right - Short - Ground Pass,0.6145903991,0.9838038087,Álvaro Fidalgo Fernández,47467.0,,,,,,,,1,From Corner,Cristian Alexis Borja González,23428.0,Left Back,6,América,1229,"['15f9a0c1-980b-5464-bb5a-0092e79ee49f', '9ff3510a-16c8-5b89-a056-2195d23f7e2b']",37,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:01:37.882,Pass,
,,,,,,,,,,,,,,,,,1.095,,,,,,,,,,,,,,a7c8f130-f634-555d-9682-45543a0505ba,84,,,"[72.2, 32.1]",3939883,1,,0.0092806406,0.009374816,-9.41753e-05,0.0188631993,0.0239253268,-0.0050621275,-0.0049679521,,,,-1.812717,,Right Foot,,,"[68.4, 16.7]",,Ground Pass,15.86,,,27.0,Midfield third - Left - To left - Short - Ground Pass,0.8438175338,0.9894629121,Cristian Alexis Borja González,23428.0,,,,,,,,1,From Corner,Álvaro Fidalgo Fernández,47467.0,Left Defensive Midfield,6,América,1229,"['b88c956e-8edf-556b-84d3-5fc770ed5770', '73f78f35-6927-5d24-a31d-7f3e47e43bdb']",43,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:01:43.703,Pass,
,,,,,,,,,,,,,,,,,4.926,,,,,,,,,,,,,,7bfc52d3-abd5-5cbc-aaa2-e04e11dede12,87,,,"[68.4, 15.5]",3939883,1,,0.0115489466,0.0091194781,0.0024294686,0.0126826111,0.0190127566,-0.0063301455,-0.0087596141,,,,2.442991,,Left Foot,,,"[27.8, 49.6]",,Ground Pass,53.02,,,29.0,Midfield third - Left - To right - Long - Ground Pass,0.7852225375,0.9885082841,Luis Ángel Malagón Velázquez,33098.0,,,,,,,,1,From Corner,Cristian Alexis Borja González,23428.0,Left Back,6,América,1229,"['56fb8a08-ad9d-5324-b5ac-666379eb6f46', '5c0124e4-d3d3-543d-9729-c37d7e429d4f']",44,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:01:44.878,Pass,
,,,,,,,,,,,,,,,,,1.784,,,,,,,,,,,,,,f8844811-ba3b-5b1e-a391-d458a721fa33,90,,,"[27.8, 49.1]",3939883,1,,0.0117006665,0.0115107689,0.0001898976,0.0137678403,0.0126826111,0.0010852292,0.0008953316,,,,-0.845029,,Right Foot,,,"[34.1, 42.0]",,Ground Pass,9.49,,,21.0,Defensive third - Center - To left - Short - Ground Pass,0.7398588451,0.9617183805,Ramón Juárez Del Castillo,36167.0,,,,,,,,1,From Corner,Luis Ángel Malagón Velázquez,33098.0,Goalkeeper,6,América,1229,"['fb82fa55-763d-5836-abe3-d161eaf5bc78', 'e799ad5d-86a1-5322-83e7-44c8f228f1bb']",49,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:01:49.844,Pass,
